"SitePlot","Site","Plot","Location","Common","MaxN","PA","SitePlotNew","Avg_rugosity","Rugosity_variance"
"M1506","M15","06","M","Schoolmaster",0,0,"M1561",NA,NA
"M1506","M15","06","M","Mahogany",0,0,"M1561",NA,NA
"M1508","M15","08","M","Yellowtail",6,1,"M1563",NA,NA
"M1508","M15","08","M","Lane",0,0,"M1563",NA,NA
"M1508","M15","08","M","Mutton",0,0,"M1563",NA,NA
"M1508","M15","08","M","Schoolmaster",0,0,"M1563",NA,NA
"M1508","M15","08","M","Mahogany",0,0,"M1563",NA,NA
"M1509","M15","09","M","Yellowtail",5,1,"M1564",1.16142642412736,0.00193326311870216
"M1509","M15","09","M","Lane",0,0,"M1564",1.16142642412736,0.00193326311870216
"M1509","M15","09","M","Mutton",0,0,"M1564",1.16142642412736,0.00193326311870216
"M1509","M15","09","M","Schoolmaster",0,0,"M1564",1.16142642412736,0.00193326311870216
"M1509","M15","09","M","Mahogany",0,0,"M1564",1.16142642412736,0.00193326311870216
"M1762","M17","62","M","Yellowtail",5,1,"M1789",1.19615492439035,0.00353471492960001
"M1762","M17","62","M","Lane",0,0,"M1789",1.19615492439035,0.00353471492960001
"M1762","M17","62","M","Mutton",0,0,"M1789",1.19615492439035,0.00353471492960001
"M1762","M17","62","M","Schoolmaster",0,0,"M1789",1.19615492439035,0.00353471492960001
"M1762","M17","62","M","Mahogany",0,0,"M1789",1.19615492439035,0.00353471492960001
"M1764","M17","64","M","Yellowtail",16,1,"M1791",NA,NA
"M1764","M17","64","M","Lane",0,0,"M1791",NA,NA
"M1764","M17","64","M","Mutton",0,0,"M1791",NA,NA
"M1764","M17","64","M","Schoolmaster",1,1,"M1791",NA,NA
"M1764","M17","64","M","Mahogany",0,0,"M1791",NA,NA
"M1765","M17","65","M","Yellowtail",3,1,"M1792",NA,NA
"M1765","M17","65","M","Lane",0,0,"M1792",NA,NA
"M1765","M17","65","M","Mutton",0,0,"M1792",NA,NA
"M1765","M17","65","M","Schoolmaster",0,0,"M1792",NA,NA
"M1765","M17","65","M","Mahogany",0,0,"M1792",NA,NA
"M2870","M28","70","M","Yellowtail",15,1,"M2874",1.17213151498135,0.00745509305645766
"M2870","M28","70","M","Lane",0,0,"M2874",1.17213151498135,0.00745509305645766
"M2870","M28","70","M","Mutton",0,0,"M2874",1.17213151498135,0.00745509305645766
"M2870","M28","70","M","Schoolmaster",0,0,"M2874",1.17213151498135,0.00745509305645766
"M2870","M28","70","M","Mahogany",0,0,"M2874",1.17213151498135,0.00745509305645766
"M3837","M38","37","M","Yellowtail",4,1,"M3857",1.08814448998864,0.00678919739056489
"M3837","M38","37","M","Lane",0,0,"M3857",1.08814448998864,0.00678919739056489
"M3837","M38","37","M","Mutton",0,0,"M3857",1.08814448998864,0.00678919739056489
"M3837","M38","37","M","Schoolmaster",0,0,"M3857",1.08814448998864,0.00678919739056489
"M3837","M38","37","M","Mahogany",0,0,"M3857",1.08814448998864,0.00678919739056489
"M3839","M38","39","M","Yellowtail",4,1,"M3859",1.24622223139008,0.00869867310345023
"M3839","M38","39","M","Lane",0,0,"M3859",1.24622223139008,0.00869867310345023
"M3839","M38","39","M","Mutton",0,0,"M3859",1.24622223139008,0.00869867310345023
"M3839","M38","39","M","Schoolmaster",1,1,"M3859",1.24622223139008,0.00869867310345023
"M3839","M38","39","M","Mahogany",0,0,"M3859",1.24622223139008,0.00869867310345023
"M3840","M38","40","M","Yellowtail",1,1,"M3860",1.28337852191687,0.0185364607444754
"M3840","M38","40","M","Lane",0,0,"M3860",1.28337852191687,0.0185364607444754
"M3840","M38","40","M","Mutton",0,0,"M3860",1.28337852191687,0.0185364607444754
"M3840","M38","40","M","Schoolmaster",1,1,"M3860",1.28337852191687,0.0185364607444754
"M3840","M38","40","M","Mahogany",0,0,"M3860",1.28337852191687,0.0185364607444754
"M4338","M43","38","M","Yellowtail",1,1,"M4365",1.16469425524998,0.00279804112836267
"M4338","M43","38","M","Lane",0,0,"M4365",1.16469425524998,0.00279804112836267
"M4338","M43","38","M","Mutton",1,1,"M4365",1.16469425524998,0.00279804112836267
"M4338","M43","38","M","Schoolmaster",1,1,"M4365",1.16469425524998,0.00279804112836267
"M4338","M43","38","M","Mahogany",0,0,"M4365",1.16469425524998,0.00279804112836267
"M4378","M43","78","M","Yellowtail",3,1,"M4366",1.25486613575676,0.0055643242377769
"M4378","M43","78","M","Lane",0,0,"M4366",1.25486613575676,0.0055643242377769
"M4378","M43","78","M","Mutton",1,1,"M4366",1.25486613575676,0.0055643242377769
"M4378","M43","78","M","Schoolmaster",6,1,"M4366",1.25486613575676,0.0055643242377769
"M4378","M43","78","M","Mahogany",0,0,"M4366",1.25486613575676,0.0055643242377769
"M4380","M43","80","M","Yellowtail",1,1,"M4367",1.18710028828593,0.0187243457796605
"M4380","M43","80","M","Lane",0,0,"M4367",1.18710028828593,0.0187243457796605
"M4380","M43","80","M","Mutton",0,0,"M4367",1.18710028828593,0.0187243457796605
"M4380","M43","80","M","Schoolmaster",0,0,"M4367",1.18710028828593,0.0187243457796605
"M4380","M43","80","M","Mahogany",0,0,"M4367",1.18710028828593,0.0187243457796605
"M4381","M43","81","M","Yellowtail",1,1,"M4368",1.16571025642667,0.00536520749405254
"M4381","M43","81","M","Lane",0,0,"M4368",1.16571025642667,0.00536520749405254
"M4381","M43","81","M","Mutton",0,0,"M4368",1.16571025642667,0.00536520749405254
"M4381","M43","81","M","Schoolmaster",0,0,"M4368",1.16571025642667,0.00536520749405254
"M4381","M43","81","M","Mahogany",0,0,"M4368",1.16571025642667,0.00536520749405254
"M4502","M45","02","M","Yellowtail",8,1,"M4586",NA,NA
"M4502","M45","02","M","Lane",0,0,"M4586",NA,NA
"M4502","M45","02","M","Mutton",0,0,"M4586",NA,NA
"M4502","M45","02","M","Schoolmaster",0,0,"M4586",NA,NA
"M4502","M45","02","M","Mahogany",0,0,"M4586",NA,NA
"M4503","M45","03","M","Yellowtail",7,1,"M4587",1.05703333693709,0.000380260417807856
"M4503","M45","03","M","Lane",0,0,"M4587",1.05703333693709,0.000380260417807856
"M4503","M45","03","M","Mutton",0,0,"M4587",1.05703333693709,0.000380260417807856
"M4503","M45","03","M","Schoolmaster",0,0,"M4587",1.05703333693709,0.000380260417807856
"M4503","M45","03","M","Mahogany",0,0,"M4587",1.05703333693709,0.000380260417807856
"M4504","M45","04","M","Yellowtail",6,1,"M4588",1.07450627484648,0.000660572516428901
"M4504","M45","04","M","Lane",0,0,"M4588",1.07450627484648,0.000660572516428901
"M4504","M45","04","M","Mutton",0,0,"M4588",1.07450627484648,0.000660572516428901
"M4504","M45","04","M","Schoolmaster",0,0,"M4588",1.07450627484648,0.000660572516428901
"M4504","M45","04","M","Mahogany",0,0,"M4588",1.07450627484648,0.000660572516428901
"M4849","M48","49","M","Yellowtail",0,0,"M4849",NA,NA
"M4849","M48","49","M","Lane",0,0,"M4849",NA,NA
"M4849","M48","49","M","Mutton",0,0,"M4849",NA,NA
"M4849","M48","49","M","Schoolmaster",0,0,"M4849",NA,NA
"M4849","M48","49","M","Mahogany",0,0,"M4849",NA,NA
"M4896","M48","96","M","Yellowtail",4,1,"M4852",1.12762487042465,0.00335513435411113
"M4896","M48","96","M","Lane",1,1,"M4852",1.12762487042465,0.00335513435411113
"M4896","M48","96","M","Mutton",1,1,"M4852",1.12762487042465,0.00335513435411113
"M4896","M48","96","M","Schoolmaster",0,0,"M4852",1.12762487042465,0.00335513435411113
"M4896","M48","96","M","Mahogany",0,0,"M4852",1.12762487042465,0.00335513435411113
"M7309","M73","09","M","Yellowtail",9,1,"M7377",1.45102729014056,0.0907313164403354
"M7309","M73","09","M","Lane",0,0,"M7377",1.45102729014056,0.0907313164403354
"M7309","M73","09","M","Mutton",1,1,"M7377",1.45102729014056,0.0907313164403354
"M7309","M73","09","M","Schoolmaster",5,1,"M7377",1.45102729014056,0.0907313164403354
"M7309","M73","09","M","Mahogany",0,0,"M7377",1.45102729014056,0.0907313164403354
"M7421","M74","21","M","Yellowtail",2,1,"M7493",1.08611906435014,0.00094836939926539
"M7421","M74","21","M","Lane",0,0,"M7493",1.08611906435014,0.00094836939926539
"M7421","M74","21","M","Mutton",0,0,"M7493",1.08611906435014,0.00094836939926539
"M7421","M74","21","M","Schoolmaster",0,0,"M7493",1.08611906435014,0.00094836939926539
"M7421","M74","21","M","Mahogany",0,0,"M7493",1.08611906435014,0.00094836939926539
"M7422","M74","22","M","Yellowtail",7,1,"M7494",1.08913080212952,0.001667137208133
"M7422","M74","22","M","Lane",0,0,"M7494",1.08913080212952,0.001667137208133
"M7422","M74","22","M","Mutton",0,0,"M7494",1.08913080212952,0.001667137208133
"M7422","M74","22","M","Schoolmaster",0,0,"M7494",1.08913080212952,0.001667137208133
"M7422","M74","22","M","Mahogany",0,0,"M7494",1.08913080212952,0.001667137208133
"T0158","T01","58","T","Yellowtail",10,1,"T0114",1.17602646687343,0.00407399750013756
"T0158","T01","58","T","Lane",0,0,"T0114",1.17602646687343,0.00407399750013756
"T0158","T01","58","T","Mutton",0,0,"T0114",1.17602646687343,0.00407399750013756
"T0158","T01","58","T","Schoolmaster",1,1,"T0114",1.17602646687343,0.00407399750013756
"T0158","T01","58","T","Mahogany",0,0,"T0114",1.17602646687343,0.00407399750013756
"T0160","T01","60","T","Yellowtail",5,1,"T0115",1.24106812947744,0.0078796945084019
"T0160","T01","60","T","Lane",0,0,"T0115",1.24106812947744,0.0078796945084019
"T0160","T01","60","T","Mutton",0,0,"T0115",1.24106812947744,0.0078796945084019
"T0160","T01","60","T","Schoolmaster",0,0,"T0115",1.24106812947744,0.0078796945084019
"T0160","T01","60","T","Mahogany",0,0,"T0115",1.24106812947744,0.0078796945084019
"T0168","T01","68","T","Yellowtail",7,1,"T0116",1.31610583629493,0.0105392948461747
"T0168","T01","68","T","Lane",0,0,"T0116",1.31610583629493,0.0105392948461747
"T0168","T01","68","T","Mutton",0,0,"T0116",1.31610583629493,0.0105392948461747
"T0168","T01","68","T","Schoolmaster",0,0,"T0116",1.31610583629493,0.0105392948461747
"T0168","T01","68","T","Mahogany",0,0,"T0116",1.31610583629493,0.0105392948461747
"T0473","T04","73","T","Yellowtail",10,1,"T0405",NA,NA
"T0473","T04","73","T","Lane",0,0,"T0405",NA,NA
"T0473","T04","73","T","Mutton",0,0,"T0405",NA,NA
"T0473","T04","73","T","Schoolmaster",1,1,"T0405",NA,NA
"T0473","T04","73","T","Mahogany",0,0,"T0405",NA,NA
"T0476","T04","76","T","Yellowtail",1,1,"T0408",1.3449221443867,0.0133553340956101
"T0476","T04","76","T","Lane",0,0,"T0408",1.3449221443867,0.0133553340956101
"T0476","T04","76","T","Mutton",0,0,"T0408",1.3449221443867,0.0133553340956101
"T0476","T04","76","T","Schoolmaster",4,1,"T0408",1.3449221443867,0.0133553340956101
"T0476","T04","76","T","Mahogany",0,0,"T0408",1.3449221443867,0.0133553340956101
"T2069","T20","69","T","Yellowtail",6,1,"T2009",1.32515370354926,0.0111636636066181
"T2069","T20","69","T","Lane",0,0,"T2009",1.32515370354926,0.0111636636066181
"T2069","T20","69","T","Mutton",0,0,"T2009",1.32515370354926,0.0111636636066181
"T2069","T20","69","T","Schoolmaster",0,0,"T2009",1.32515370354926,0.0111636636066181
"T2069","T20","69","T","Mahogany",0,0,"T2009",1.32515370354926,0.0111636636066181
"T2070","T20","70","T","Yellowtail",5,1,"T2010",1.27999185408403,0.00680005445135519
"T2070","T20","70","T","Lane",0,0,"T2010",1.27999185408403,0.00680005445135519
"T2070","T20","70","T","Mutton",1,1,"T2010",1.27999185408403,0.00680005445135519
"T2070","T20","70","T","Schoolmaster",2,1,"T2010",1.27999185408403,0.00680005445135519
"T2070","T20","70","T","Mahogany",0,0,"T2010",1.27999185408403,0.00680005445135519
"T2072","T20","72","T","Yellowtail",6,1,"T2012",1.24203910745414,0.00676325218697725
"T2072","T20","72","T","Lane",0,0,"T2012",1.24203910745414,0.00676325218697725
"T2072","T20","72","T","Mutton",0,0,"T2012",1.24203910745414,0.00676325218697725
"T2072","T20","72","T","Schoolmaster",1,1,"T2012",1.24203910745414,0.00676325218697725
"T2072","T20","72","T","Mahogany",0,0,"T2012",1.24203910745414,0.00676325218697725
"T2209","T22","09","T","Yellowtail",4,1,"T2233",1.31664374580971,0.0176502140189493
"T2209","T22","09","T","Lane",0,0,"T2233",1.31664374580971,0.0176502140189493
"T2209","T22","09","T","Mutton",0,0,"T2233",1.31664374580971,0.0176502140189493
"T2209","T22","09","T","Schoolmaster",1,1,"T2233",1.31664374580971,0.0176502140189493
"T2209","T22","09","T","Mahogany",0,0,"T2233",1.31664374580971,0.0176502140189493
"T2210","T22","10","T","Yellowtail",3,1,"T2234",1.31701468883235,0.00868269497491449
"T2210","T22","10","T","Lane",1,1,"T2234",1.31701468883235,0.00868269497491449
"T2210","T22","10","T","Mutton",0,0,"T2234",1.31701468883235,0.00868269497491449
"T2210","T22","10","T","Schoolmaster",1,1,"T2234",1.31701468883235,0.00868269497491449
"T2210","T22","10","T","Mahogany",0,0,"T2234",1.31701468883235,0.00868269497491449
"T2211","T22","11","T","Yellowtail",6,1,"T2235",1.25506721300849,0.00950548426450806
"T2211","T22","11","T","Lane",0,0,"T2235",1.25506721300849,0.00950548426450806
"T2211","T22","11","T","Mutton",0,0,"T2235",1.25506721300849,0.00950548426450806
"T2211","T22","11","T","Schoolmaster",0,0,"T2235",1.25506721300849,0.00950548426450806
"T2211","T22","11","T","Mahogany",0,0,"T2235",1.25506721300849,0.00950548426450806
"T2212","T22","12","T","Yellowtail",5,1,"T2236",1.2694416847016,0.00916334026252798
"T2212","T22","12","T","Lane",0,0,"T2236",1.2694416847016,0.00916334026252798
"T2212","T22","12","T","Mutton",0,0,"T2236",1.2694416847016,0.00916334026252798
"T2212","T22","12","T","Schoolmaster",1,1,"T2236",1.2694416847016,0.00916334026252798
"T2212","T22","12","T","Mahogany",0,0,"T2236",1.2694416847016,0.00916334026252798
"T2361","T23","61","T","Yellowtail",7,1,"T2345",1.11471241219457,0.00358853257043973
"T2361","T23","61","T","Lane",0,0,"T2345",1.11471241219457,0.00358853257043973
"T2361","T23","61","T","Mutton",0,0,"T2345",1.11471241219457,0.00358853257043973
"T2361","T23","61","T","Schoolmaster",0,0,"T2345",1.11471241219457,0.00358853257043973
"T2361","T23","61","T","Mahogany",0,0,"T2345",1.11471241219457,0.00358853257043973
"T2369","T23","69","T","Yellowtail",7,1,"T2346",1.03484998534339,0.000659044771160463
"T2369","T23","69","T","Lane",0,0,"T2346",1.03484998534339,0.000659044771160463
"T2369","T23","69","T","Mutton",0,0,"T2346",1.03484998534339,0.000659044771160463
"T2369","T23","69","T","Schoolmaster",0,0,"T2346",1.03484998534339,0.000659044771160463
"T2369","T23","69","T","Mahogany",0,0,"T2346",1.03484998534339,0.000659044771160463
"T2374","T23","74","T","Yellowtail",2,1,"T2347",1.09593966742444,0.00056050866551637
"T2374","T23","74","T","Lane",0,0,"T2347",1.09593966742444,0.00056050866551637
"T2374","T23","74","T","Mutton",0,0,"T2347",1.09593966742444,0.00056050866551637
"T2374","T23","74","T","Schoolmaster",0,0,"T2347",1.09593966742444,0.00056050866551637
"T2374","T23","74","T","Mahogany",0,0,"T2347",1.09593966742444,0.00056050866551637
"T2378","T23","78","T","Yellowtail",4,1,"T2348",1.09362893797354,0.00163358992334016
"T2378","T23","78","T","Lane",0,0,"T2348",1.09362893797354,0.00163358992334016
"T2378","T23","78","T","Mutton",0,0,"T2348",1.09362893797354,0.00163358992334016
"T2378","T23","78","T","Schoolmaster",0,0,"T2348",1.09362893797354,0.00163358992334016
"T2378","T23","78","T","Mahogany",0,0,"T2348",1.09362893797354,0.00163358992334016
"T2463","T24","63","T","Yellowtail",1,1,"T2429",1.4181080146604,0.0108659707191231
"T2463","T24","63","T","Lane",0,0,"T2429",1.4181080146604,0.0108659707191231
"T2463","T24","63","T","Mutton",2,1,"T2429",1.4181080146604,0.0108659707191231
"T2463","T24","63","T","Schoolmaster",2,1,"T2429",1.4181080146604,0.0108659707191231
"T2463","T24","63","T","Mahogany",0,0,"T2429",1.4181080146604,0.0108659707191231
"T2464","T24","64","T","Yellowtail",9,1,"T2430",1.26539476382713,0.00947807576922998
"T2464","T24","64","T","Lane",0,0,"T2430",1.26539476382713,0.00947807576922998
"T2464","T24","64","T","Mutton",0,0,"T2430",1.26539476382713,0.00947807576922998
"T2464","T24","64","T","Schoolmaster",1,1,"T2430",1.26539476382713,0.00947807576922998
"T2464","T24","64","T","Mahogany",1,1,"T2430",1.26539476382713,0.00947807576922998
"T2477","T24","77","T","Yellowtail",11,1,"T2431",1.15265543145954,0.00789239137762606
"T2477","T24","77","T","Lane",1,1,"T2431",1.15265543145954,0.00789239137762606
"T2477","T24","77","T","Mutton",0,0,"T2431",1.15265543145954,0.00789239137762606
"T2477","T24","77","T","Schoolmaster",1,1,"T2431",1.15265543145954,0.00789239137762606
"T2477","T24","77","T","Mahogany",1,1,"T2431",1.15265543145954,0.00789239137762606
"T2479","T24","79","T","Yellowtail",4,1,"T2432",1.3273918206106,0.0108809738825829
"T2479","T24","79","T","Lane",2,1,"T2432",1.3273918206106,0.0108809738825829
"T2479","T24","79","T","Mutton",0,0,"T2432",1.3273918206106,0.0108809738825829
"T2479","T24","79","T","Schoolmaster",2,1,"T2432",1.3273918206106,0.0108809738825829
"T2479","T24","79","T","Mahogany",0,0,"T2432",1.3273918206106,0.0108809738825829
"T2646","T26","46","T","Yellowtail",5,1,NA,NA,NA
"T2646","T26","46","T","Lane",1,1,NA,NA,NA
"T2646","T26","46","T","Mutton",1,1,NA,NA,NA
"T2646","T26","46","T","Schoolmaster",1,1,NA,NA,NA
"T2646","T26","46","T","Mahogany",0,0,NA,NA,NA
"T2647","T26","47","T","Yellowtail",3,1,NA,NA,NA
"T2647","T26","47","T","Lane",1,1,NA,NA,NA
"T2647","T26","47","T","Mutton",0,0,NA,NA,NA
"T2647","T26","47","T","Schoolmaster",0,0,NA,NA,NA
"T2647","T26","47","T","Mahogany",0,0,NA,NA,NA
"T2648","T26","48","T","Yellowtail",9,1,NA,NA,NA
"T2648","T26","48","T","Lane",0,0,NA,NA,NA
"T2648","T26","48","T","Mutton",1,1,NA,NA,NA
"T2648","T26","48","T","Schoolmaster",0,0,NA,NA,NA
"T2648","T26","48","T","Mahogany",0,0,NA,NA,NA
"T3521","T35","21","T","Yellowtail",2,1,"T3501",1.35684708031185,0.0059395666823227
"T3521","T35","21","T","Yellowtail",2,1,"T3503",1.33871928095913,0.00228117449073545
"T3521","T35","21","T","Lane",0,0,"T3501",1.35684708031185,0.0059395666823227
"T3521","T35","21","T","Lane",0,0,"T3503",1.33871928095913,0.00228117449073545
"T3521","T35","21","T","Mutton",0,0,"T3501",1.35684708031185,0.0059395666823227
"T3521","T35","21","T","Mutton",0,0,"T3503",1.33871928095913,0.00228117449073545
"T3521","T35","21","T","Schoolmaster",0,0,"T3501",1.35684708031185,0.0059395666823227
"T3521","T35","21","T","Schoolmaster",0,0,"T3503",1.33871928095913,0.00228117449073545
"T3521","T35","21","T","Mahogany",0,0,"T3501",1.35684708031185,0.0059395666823227
"T3521","T35","21","T","Mahogany",0,0,"T3503",1.33871928095913,0.00228117449073545
"T3540","T35","40","T","Yellowtail",2,1,"T3502",1.4110525681846,0.00723727303447692
"T3540","T35","40","T","Lane",0,0,"T3502",1.4110525681846,0.00723727303447692
"T3540","T35","40","T","Mutton",0,0,"T3502",1.4110525681846,0.00723727303447692
"T3540","T35","40","T","Schoolmaster",0,0,"T3502",1.4110525681846,0.00723727303447692
"T3540","T35","40","T","Mahogany",0,0,"T3502",1.4110525681846,0.00723727303447692
"T3713","T37","13","T","Yellowtail",9,1,"T3717",1.33953808658236,0.0117865689423964
"T3713","T37","13","T","Lane",0,0,"T3717",1.33953808658236,0.0117865689423964
"T3713","T37","13","T","Mutton",0,0,"T3717",1.33953808658236,0.0117865689423964
"T3713","T37","13","T","Schoolmaster",0,0,"T3717",1.33953808658236,0.0117865689423964
"T3713","T37","13","T","Mahogany",0,0,"T3717",1.33953808658236,0.0117865689423964
"T3715","T37","15","T","Yellowtail",15,1,"T3719",1.77582065822573,0.0668199563105188
"T3715","T37","15","T","Lane",0,0,"T3719",1.77582065822573,0.0668199563105188
"T3715","T37","15","T","Mutton",0,0,"T3719",1.77582065822573,0.0668199563105188
"T3715","T37","15","T","Schoolmaster",1,1,"T3719",1.77582065822573,0.0668199563105188
"T3715","T37","15","T","Mahogany",0,0,"T3719",1.77582065822573,0.0668199563105188
"T3716","T37","16","T","Yellowtail",14,1,"T3720",1.92459010686232,0.123532221983814
"T3716","T37","16","T","Lane",0,0,"T3720",1.92459010686232,0.123532221983814
"T3716","T37","16","T","Mutton",0,0,"T3720",1.92459010686232,0.123532221983814
"T3716","T37","16","T","Schoolmaster",1,1,"T3720",1.92459010686232,0.123532221983814
"T3716","T37","16","T","Mahogany",0,0,"T3720",1.92459010686232,0.123532221983814
"T3967","T39","67","T","Yellowtail",10,1,"T3938",1.69705208941785,0.045188056281568
"T3967","T39","67","T","Lane",1,1,"T3938",1.69705208941785,0.045188056281568
"T3967","T39","67","T","Mutton",0,0,"T3938",1.69705208941785,0.045188056281568
"T3967","T39","67","T","Schoolmaster",2,1,"T3938",1.69705208941785,0.045188056281568
"T3967","T39","67","T","Mahogany",1,1,"T3938",1.69705208941785,0.045188056281568
"T3971","T39","71","T","Yellowtail",8,1,"T3939",1.63926780073238,0.0427858487285231
"T3971","T39","71","T","Lane",0,0,"T3939",1.63926780073238,0.0427858487285231
"T3971","T39","71","T","Mutton",1,1,"T3939",1.63926780073238,0.0427858487285231
"T3971","T39","71","T","Schoolmaster",1,1,"T3939",1.63926780073238,0.0427858487285231
"T3971","T39","71","T","Mahogany",1,1,"T3939",1.63926780073238,0.0427858487285231
"T3976","T39","76","T","Yellowtail",15,1,"T3940",1.62514317238948,0.0984915870980451
"T3976","T39","76","T","Lane",0,0,"T3940",1.62514317238948,0.0984915870980451
"T3976","T39","76","T","Mutton",0,0,"T3940",1.62514317238948,0.0984915870980451
"T3976","T39","76","T","Schoolmaster",2,1,"T3940",1.62514317238948,0.0984915870980451
"T3976","T39","76","T","Mahogany",7,1,"T3940",1.62514317238948,0.0984915870980451
"T4301","T43","01","T","Yellowtail",4,1,"T4321",1.92824335630942,0.15506510956869
"T4301","T43","01","T","Lane",0,0,"T4321",1.92824335630942,0.15506510956869
"T4301","T43","01","T","Mutton",3,1,"T4321",1.92824335630942,0.15506510956869
"T4301","T43","01","T","Schoolmaster",8,1,"T4321",1.92824335630942,0.15506510956869
"T4301","T43","01","T","Mahogany",0,0,"T4321",1.92824335630942,0.15506510956869
"T4302","T43","02","T","Yellowtail",7,1,"T4322",1.81713932217957,0.093546737406273
